id	gene	disease	snp_disease	DC	CC	EC
4736	RPL10A	sle	sle	0.202	0.403	0.164
6204	RPS10	sle	sle	0.221	0.409	0.218
6205	RPS11	vit	vit	0.264	0.427	0.24
6222	RPS18	crd	crd	0.264	0.426	0.235
6224	RPS20	sle	sle	0.252	0.416	0.23
6231	RPS26	shared	alo,pso,ra,ssc,t1d,vit	0.239	0.414	0.223
9349	RPL23	ee	ee	0.209	0.406	0.172
11056	DDX52	ms	ms	0.166	0.371	0.181
22984	PDCD11	sle	sle	0.221	0.404	0.224
27042	DIEXF	shared	alo,ms	0.166	0.382	0.184
51081	MRPS7	shared	ms,sle,ssc	0.227	0.376	0.174
51118	UTP11	ra	ra	0.16	0.38	0.182
55127	HEATR1	sle	sle	0.166	0.393	0.189
84916	UTP4	pso	pso	0.172	0.394	0.189
134430	WDR36	ee	ee	0.172	0.395	0.191
