id	gene	disease	snp_disease	DC	CC	EC
472	ATM	pso	pso	0.131	0.37	0.123
861	RUNX1	pso	pso	0.073	0.359	0.109
1108	CHD4	pa	pa	0.076	0.374	0.108
1387	CREBBP	shared	ms,pbc,pso,sle	0.183	0.433	0.259
2033	EP300	vit	vit	0.201	0.436	0.282
2146	EZH2	crd	crd	0.119	0.403	0.175
6613	SUMO2	ssc	ssc	0.07	0.357	0.092
7158	TP53BP1	t1d	t1d	0.093	0.377	0.101
7341	SUMO1	sle	sle	0.116	0.384	0.15
8085	KMT2D	vit	vit	0.076	0.364	0.119
8648	NCOA1	shared	crd,ms,sjs,t1d,ulc	0.096	0.385	0.132
8850	KAT2B	shared	crd,pso	0.145	0.411	0.206
9611	NCOR1	pa	pa	0.14	0.39	0.195
9612	NCOR2	pso	pso	0.096	0.371	0.154
10014	HDAC5	pso	pso	0.078	0.364	0.141
10499	NCOA2	shared	ra,sle	0.087	0.372	0.126
10524	KAT5	shared	pso,sle	0.134	0.404	0.158
23054	NCOA6	pso	pso	0.078	0.361	0.116
23411	SIRT1	pso	pso	0.087	0.397	0.14
23512	SUZ12	ms	ms	0.093	0.369	0.149
51564	HDAC7	ulc	ulc	0.073	0.379	0.15
58508	KMT2C	ra	ra	0.067	0.356	0.119
192670	AGO4	shared	ms,pso	0.067	0.351	0.124
